feature,importance
tGravityAcc-mean()-X,0.03463268366647079
tGravityAcc-min()-X,0.030679363314233033
"angle(X,gravityMean)",0.029351800909897214
tGravityAcc-mean()-Y,0.029236005335633954
tGravityAcc-energy()-X,0.025576173134952227
tGravityAcc-min()-Y,0.02422633197962407
tGravityAcc-max()-Y,0.024117203146411456
"angle(Y,gravityMean)",0.022903377552514148
tGravityAcc-max()-X,0.020364578359920744
tGravityAcc-energy()-Y,0.01602099968908601
tGravityAccMag-std(),0.013177266271577847
"fBodyAccJerk-bandsEnergy()-1,16",0.011497322309274772
"tGravityAcc-arCoeff()-Z,2",0.010780835466918872
tGravityAcc-min()-Z,0.009956831283145683
tGravityAcc-mean()-Z,0.009537722856979883
"angle(Z,gravityMean)",0.009422012465289217
fBodyAccJerk-energy()-X,0.00931055483951188
tGravityAcc-max()-Z,0.009124799053165933
fBodyAccMag-mad(),0.009064487754181576
"fBodyAccJerk-bandsEnergy()-1,24",0.00887941719944601
"tGravityAcc-arCoeff()-Z,3",0.008832240007762922
tGravityAcc-energy()-Z,0.008651538874509588
fBodyAccJerk-mean()-X,0.008500253054448655
fBodyAccMag-std(),0.008167006057961484
fBodyAcc-mad()-X,0.008129458353679633
